"Reference","Qty","DNP","MANUFACTURER"
"BT1","1","","485-1769 "
"C1","1","","GRM155R71C104JA88D"
"C2","1","","GRM155R71C104JA88D"
"C3","1","","GRM155C81A105KA12J"
"C4","1","","GRM155R71C104JA88D"
"C5","1","","GRM155C81A105KA12J"
"C6","1","","GRM155C81A105KA12J"
"C7","1","","GRM155R71C104JA88D"
"C8","1","","GRM155R71C104JA88D"
"C9","1","","GRM155R71C104JA88D"
"C10","1","","GRM155C81A105KA12J"
"C11","1","","GRM155C81A105KA12J"
"C12","1","","GRM155R60E106ME16D"
"C13","1","","GRM155R71C104JA88D"
"C14","1","","GRM155R60G475ME47D"
"C15","1","","GRM155R71C104JA88D"
"C16","1","","GRM155R60J106ME05J"
"C17","1","","GRM155R60G475ME47D"
"C18","1","","GRM155R60G475ME47D"
"C19","1","","GRM155R60G475ME47D"
"C20","1","","GRM158C80G226ME01J"
"C21","1","","GRM155R71C104JA88D"
"D1","1","","RB168MM-30TR"
"D2","1","","RB168MM-30TR"
"D4","1","","LTST-S270KRKT"
"H1","1","",""
"H2","1","",""
"H3","1","",""
"H4","1","",""
"L1","1","","0402DF-222XJRW "
"MCP73831T1","1",""," MCP73831T-2ACI/OT "
"PAM2401-SCADJ1","1","","PAM2401SCADJ "
"R1","1",""," ERA-2AED104X "
"R2","1","","ERA-2AED104X"
"R3","1",""," ERJ-2RKF7503X "
"R4","1","","ERJ-2RKF7503X"
"R5","1","","ERA-2AED512X"
"R6","1","","ERA-2AED512X"
"R7","1","","ERA-2AED512X"
"R8","1","","ERA-2AED102X"
"R9","1","","ERA-2AED102X"
"R13","1","","ERA-2AED471X"
"R14","1","","ERA-2AED102X"
"R15","1","","ERA-2AED202X"
"S1","1","","JS102011JAQN"
"SW1","1","","434133025816 "
"SW2","1","","434133025816 "
"TP1","1","",""
"U1","1",""," LP5907MFX-3.3/NOPB "
"U2","1",""," ESP32-S3-MINI-1-N8 "
"U3","1","","ADXL335BCPZ"
"U4","1","",""
"U5","1","","LP5907MFX-1.8/NOPB"
"U6","1",""," MAX30101EFD+T "
"USB4105-GF-A1","1",""," USB4105-GF-A-120 "
